,PetID,AdoptionSpeed,Type,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PhotoAmt,State,Breed,Colors
40,ace21b6b1,3,2,2,2,2,2,2,1,2,1,1,0,0,13.0,41326,Mixed Breed,White
41,8ee223a17,2,2,1,3,1,1,2,2,2,1,3,0,0,1.0,41326,Domestic Short Hair,"Black, Brown"
42,9a38d4275,1,2,24,2,2,3,3,3,3,2,6,0,0,1.0,41326,Mixed Breed,White
43,671ffc570,3,1,5,1,2,1,1,1,1,1,1,0,0,6.0,41401,Mixed Breed,White
44,aece6e7bf,4,1,12,1,2,2,2,1,1,1,1,0,0,2.0,41336,Mixed Breed,"Brown, White"
45,c1e816568,4,1,4,1,2,1,2,2,2,1,2,0,0,11.0,41326,Mixed Breed,"Black, White"
46,22f6c0ac6,3,2,5,1,1,3,1,1,2,1,1,0,0,13.0,41326,Domestic Medium Hair,"Yellow, White"
47,ea159d8da,4,1,72,2,2,1,1,1,1,1,1,0,0,3.0,41326,Mixed Breed,"Brown, White"
48,af1035c81,3,1,1,3,2,1,3,3,2,1,9,0,0,3.0,41326,Mixed Breed,"Black, Brown"
49,0d25f084f,2,2,60,1,3,3,1,1,1,1,1,0,0,3.0,41326,Domestic Long Hair,"Black, Brown"
50,6fecc5cf7,3,1,1,2,2,2,2,1,1,1,2,0,0,13.0,41326,Mixed Breed,Black
51,7fe8ef73d,4,2,6,1,2,1,1,1,1,1,1,100,0,1.0,41401,Domestic Short Hair,"Black, Brown"
52,015c75c9e,3,1,2,1,2,1,1,1,2,1,1,0,0,3.0,41326,Mixed Breed,"Brown, White"
53,9609a0b86,4,1,12,2,2,2,1,1,1,1,2,0,0,5.0,41326,Mixed Breed,Brown
54,c740abfe1,3,1,3,2,1,1,3,3,3,2,1,0,0,0.0,41326,Mixed Breed,"Brown, White"
55,f6551137d,2,2,3,3,1,2,1,1,2,1,2,0,0,15.0,41401,Domestic Medium Hair,"Yellow, Gray"
56,8c131db77,4,2,5,1,2,1,2,1,2,1,1,30,0,4.0,41326,Domestic Short Hair,"Black, White"
57,d765ae877,2,1,24,2,2,2,1,1,1,1,1,0,0,2.0,41326,Mixed Breed,Cream
58,8ce183889,1,1,4,1,3,2,2,2,2,1,1,0,0,3.0,41326,Mixed Breed,Cream
59,9c0ddccc8,4,2,2,3,1,1,3,3,3,1,6,0,0,1.0,41401,American Shorthair,"Black, Gray"
60,f9df8656a,1,2,1,2,2,1,2,2,2,1,1,0,0,5.0,41326,Domestic Short Hair,Yellow
61,f0ef9c777,4,1,9,1,2,1,1,1,3,1,1,0,0,2.0,41327,Mixed Breed,"Brown, Cream"
62,3181e5424,4,1,60,2,2,1,2,2,1,1,1,0,0,2.0,41326,Mixed Breed,"Brown, Cream"
63,9883a048e,2,1,2,1,2,2,2,2,2,1,1,0,0,5.0,41327,Mixed Breed,"Black, Brown"
64,b0dec8779,3,1,2,3,2,3,1,1,2,1,7,0,0,21.0,41326,Mixed Breed,"Black, Golden"
65,e8d0907ae,1,1,48,2,2,2,1,1,2,1,1,0,0,5.0,41326,Shih Tzu,"Brown, Cream"
66,e540c1ba5,4,2,3,2,2,1,2,2,2,1,1,0,0,1.0,41324,Domestic Short Hair,Brown
67,4a4db4d32,2,2,4,1,1,1,2,1,2,1,2,0,0,1.0,41401,Domestic Short Hair,"Black, Golden"
68,98a98311c,2,2,9,2,2,1,2,2,2,1,1,0,0,1.0,41401,Domestic Short Hair,"Brown, White"
69,ef14861df,4,1,62,1,2,2,1,1,1,1,1,0,0,3.0,41401,Mixed Breed,"Black, Golden"
70,a9bc357f0,4,1,36,2,2,1,1,1,1,1,5,0,0,1.0,41326,Mixed Breed,"Black, Brown"
71,aaf4a1439,3,1,1,2,2,2,2,1,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
72,1e62e6022,1,1,2,1,1,1,1,3,2,1,1,0,0,5.0,41401,Mixed Breed,"Black, Brown"
73,4e797dcdd,4,1,2,1,1,1,1,1,2,1,1,0,0,3.0,41326,Mixed Breed,"Black, Brown"
74,45d2ddcb8,2,1,1,3,2,2,2,2,2,1,9,100,0,5.0,41335,Mixed Breed,"Black, Brown"
75,259b10a3e,0,1,2,2,2,1,2,1,2,1,1,0,0,1.0,41336,Mixed Breed,"Brown, Cream"
76,d2490c888,4,1,2,2,3,1,1,1,2,1,2,0,1,3.0,41326,Mixed Breed,Black
77,2c93c0c11,3,1,12,2,2,1,1,1,1,1,1,0,0,3.0,41326,Mixed Breed,Brown
78,35593da00,1,1,2,1,2,2,1,1,2,1,1,0,0,5.0,41326,Mixed Breed,Brown
79,4cc70e613,3,1,1,2,2,1,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,"Brown, White"
80,ff125cf8d,4,1,2,2,2,1,1,2,2,1,1,0,0,1.0,41327,Mixed Breed,"Black, Brown"
81,c30dd6e9a,1,1,3,1,1,3,1,1,3,1,1,750,0,2.0,41326,Silky Terrier,"Black, Brown"
82,be9474b85,2,1,3,1,2,2,2,1,2,1,1,0,0,1.0,41325,Mixed Breed,"Black, White"
83,815f4cc08,3,1,3,1,2,2,3,3,2,1,1,0,0,3.0,41326,Mixed Breed,Cream
84,ec5069cf6,3,2,6,2,2,2,2,1,2,1,1,50,0,4.0,41326,Domestic Medium Hair,"Cream, White"
85,867308404,2,1,1,2,2,2,2,2,2,1,2,0,0,3.0,41326,Mixed Breed,"Black, Brown"
86,e9df3ead7,4,2,47,2,2,3,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
87,258667857,2,1,2,1,3,2,3,3,3,1,1,0,0,4.0,41326,Mixed Breed,"Black, Brown"
88,fd3172797,3,1,12,2,2,2,1,1,1,1,1,0,3,11.0,41330,Mixed Breed,Cream
89,8df0bb3b3,3,1,2,1,2,1,1,1,2,1,1,0,4,18.0,41326,Mixed Breed,"Black, White"
90,3d0752cd9,3,1,1,1,2,1,2,2,2,1,1,0,0,5.0,41330,Mixed Breed,Brown
91,22051ab84,4,2,1,3,1,2,2,2,2,1,2,0,0,3.0,41326,Mixed Breed,"Brown, Golden"
92,573b3ec3d,4,1,1,3,2,1,2,2,2,1,5,0,0,0.0,41326,Mixed Breed,"Brown, White"
93,370fe2afb,3,2,24,1,3,1,2,2,2,2,1,0,0,12.0,41324,Domestic Short Hair,Yellow
94,dd308e46b,4,2,24,2,2,1,2,2,1,1,1,0,0,1.0,41326,Domestic Short Hair,"Brown, Yellow"
95,6a763a055,3,1,2,1,2,1,2,2,2,1,1,0,0,2.0,41327,Mixed Breed,"Black, Brown"
96,5e4154870,1,2,19,2,3,3,1,1,2,1,1,0,0,3.0,41401,Persian,"Black, Gray"
97,a44d42407,3,1,4,2,1,3,3,1,1,1,1,0,0,3.0,41401,Mixed Breed,Brown
98,cc8401c02,3,1,24,1,2,1,2,2,2,1,1,0,0,3.0,41336,Mixed Breed,"Brown, White"
99,0f24b6cd6,1,2,3,1,2,2,3,3,2,1,1,0,0,1.0,41326,Domestic Medium Hair,"Black, White"
100,49bb70e36,2,2,1,3,1,2,2,2,2,1,2,0,0,1.0,41401,Domestic Long Hair,"Cream, Gray"
101,43ddb2eb4,2,1,24,2,2,2,3,3,1,1,1,0,0,2.0,41326,Mixed Breed,"Black, Gray"
102,dae92dd61,4,1,60,1,2,2,1,1,1,1,1,0,0,3.0,41401,Schnauzer,Gray
103,a6ac8884b,3,1,1,2,2,2,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
104,60ce9e319,1,2,3,2,1,1,1,1,2,1,1,0,0,7.0,41326,Domestic Short Hair,"Brown, Golden"
105,5247209aa,2,2,2,1,1,2,2,2,2,1,1,0,0,2.0,41401,Domestic Medium Hair,Golden
106,19b1f4263,0,2,1,3,2,1,1,1,2,1,2,1,0,3.0,41401,Mixed Breed,"Black, White"
107,d50e11ec5,3,1,2,2,2,1,2,2,2,1,1,0,0,2.0,41401,Mixed Breed,"Black, Brown"
108,4407e70f3,1,2,2,2,2,1,2,1,2,1,1,0,0,2.0,41401,Domestic Short Hair,"Gray, White"
109,27b6e5aca,4,1,3,2,2,1,1,1,2,1,1,0,0,4.0,41401,Mixed Breed,Brown
110,80ebea85c,3,1,2,2,3,1,2,2,2,1,6,0,0,5.0,41327,Mixed Breed,"Black, Yellow"
111,1bf1f95ef,4,2,12,2,2,2,1,2,1,1,2,0,0,1.0,41324,Tabby,"Golden, Gray"
112,cdab8ba8e,2,2,4,2,2,1,1,1,2,1,1,0,0,5.0,41401,Mixed Breed,"Black, White"
113,b84dad49f,4,1,120,1,3,1,3,3,3,1,1,0,0,3.0,41401,Mixed Breed,"Black, Brown"
114,f0a2122d4,4,1,3,2,2,1,2,2,2,1,1,0,0,4.0,41326,Mixed Breed,Brown
115,1104fe6bb,4,2,1,3,1,2,2,2,2,1,4,0,0,2.0,41326,Domestic Medium Hair,"Brown, Cream"
116,46d88ca3e,1,1,36,2,3,2,1,1,2,1,1,0,0,4.0,41326,Golden Retriever,"Brown, Golden"
117,b99d5d532,4,2,3,2,1,1,2,1,2,1,1,0,0,3.0,41326,Domestic Short Hair,"Black, Brown"
118,2b6d08cba,4,2,60,1,2,2,1,1,2,1,1,0,0,0.0,41326,Persian,Golden
119,b9429dc85,1,2,1,2,2,1,2,1,3,1,1,0,0,4.0,41326,Domestic Short Hair,"Brown, Cream"
120,c61f6507e,1,1,3,3,2,2,1,1,2,1,3,150,0,3.0,41326,Mixed Breed,"Black, Brown"
121,e464fcd4b,2,1,36,1,3,1,1,1,1,1,1,0,0,4.0,41326,Rottweiler,"Black, Cream"
122,86379f12f,2,1,12,1,2,2,1,2,2,1,1,400,0,1.0,41332,Siberian Husky,"Black, Gray"
123,55fcdea2f,3,2,1,3,1,1,2,3,2,1,4,0,0,3.0,41401,Domestic Short Hair,"Black, Gray"
124,392d3346e,1,1,0,3,3,1,3,3,3,1,2,0,0,4.0,41326,Mixed Breed,"Black, Brown"
125,33db028cb,2,2,1,1,1,2,2,2,2,1,1,0,1,1.0,41326,Domestic Medium Hair,"Black, White"
126,35c0c3aca,3,1,5,1,2,1,1,1,1,1,1,0,0,6.0,41401,Mixed Breed,"Cream, White"
127,d080818c3,3,1,24,2,2,2,3,3,3,1,1,0,0,3.0,41401,Mixed Breed,"Black, Brown"
128,6f0cb510a,1,1,3,1,2,2,1,1,2,1,1,0,0,3.0,41326,Mixed Breed,Brown
129,61ac3c78c,4,1,3,2,1,1,3,3,3,1,3,0,0,1.0,41332,Mixed Breed,Brown
130,368b2adc1,4,1,4,2,2,1,2,1,2,1,1,0,0,5.0,41335,Mixed Breed,Black
131,2e4c1faf7,1,2,3,3,2,2,3,3,3,1,2,0,0,3.0,41326,Domestic Short Hair,"Black, White"
132,a85a1c8c3,2,2,1,2,1,2,2,2,2,1,5,0,0,3.0,41332,Domestic Medium Hair,"Black, White"
133,25c7d6c3b,2,2,8,1,2,1,1,1,2,1,1,50,0,8.0,41326,Mixed Breed,"Brown, Cream"
134,0b819602d,4,2,2,3,2,1,2,2,2,1,2,0,0,2.0,41332,Mixed Breed,"Black, Brown"
135,4c594983d,4,1,32,3,2,1,1,1,1,1,2,0,0,5.0,41326,Mixed Breed,"Black, Yellow"
136,05f99fc56,2,1,3,3,3,1,1,1,2,1,3,0,0,4.0,41326,Mixed Breed,"Black, Brown"
137,1dfadc371,3,2,12,1,2,2,2,2,2,1,1,0,0,1.0,41326,Domestic Medium Hair,Black
138,6d9b202c9,3,1,4,2,2,2,1,1,1,1,1,0,0,10.0,41326,Mixed Breed,"Black, Brown"
139,54791dc58,2,1,2,1,2,1,2,3,2,1,1,0,0,3.0,41326,Mixed Breed,"Black, Brown"
140,b36616178,2,2,7,2,2,1,1,1,2,1,1,0,0,7.0,41326,Mixed Breed,"Black, Yellow"
141,2ac4dd8c2,3,2,5,1,2,3,2,1,2,1,1,100,0,5.0,41401,Domestic Long Hair,Yellow
142,29f54c6ff,2,2,2,2,2,2,1,1,2,1,2,0,0,4.0,41401,Domestic Medium Hair,"Gray, White"
143,48b418070,3,1,60,2,2,1,1,1,1,1,1,0,0,2.0,41401,American Staffordshire Terrier,"Black, White"
144,c7eac7b01,2,2,4,3,2,2,2,2,2,1,5,0,0,5.0,41401,Mixed Breed,"Black, Golden"
145,8e0d65b3e,1,1,120,1,2,1,1,1,2,1,2,0,0,1.0,41326,Mixed Breed,Brown
146,9a34ddc8b,2,1,12,2,2,1,1,1,1,1,1,0,0,2.0,41326,Mixed Breed,Brown
147,ff9f62e79,3,2,17,2,1,1,3,3,1,1,1,0,0,3.0,41326,Domestic Short Hair,"Black, Brown"
148,4a6ee5d02,2,2,2,3,2,1,2,2,2,1,2,0,0,2.0,41401,Domestic Short Hair,"Yellow, Cream"
149,474bccd75,2,1,48,1,2,2,1,1,1,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
150,e4abb93bf,3,1,4,2,2,1,1,2,2,1,1,0,0,2.0,41332,Mixed Breed,"Black, White"
151,120805f93,3,2,12,2,2,2,3,1,1,1,1,0,0,2.0,41326,Turkish Van,"Golden, Cream"
152,2acf3fdce,1,2,12,1,3,3,2,1,2,1,1,0,0,2.0,41326,Mixed Breed,"Black, White"
153,e1ecc1b26,2,2,3,2,2,1,1,1,2,1,1,0,1,3.0,41401,Domestic Short Hair,"Gray, White"
154,a8cdba660,4,1,1,3,2,2,2,2,2,1,3,0,0,11.0,41326,Mixed Breed,"Black, Brown"
155,9bcd62ef1,3,1,36,2,3,2,3,3,3,2,1,0,0,4.0,41401,Doberman Pinscher,"Black, Brown"
156,c3f2f166d,4,1,12,2,2,1,3,3,3,1,1,0,1,1.0,41326,Mixed Breed,"Cream, White"
157,687e9c33c,4,1,2,2,2,2,1,1,2,1,1,80,0,1.0,41327,Mixed Breed,"Black, Brown"
158,bb5f471dd,2,1,36,1,2,1,1,1,1,1,1,0,0,1.0,41330,Doberman Pinscher,Black
159,0aaf6976a,2,2,1,3,2,2,2,2,2,1,3,0,0,13.0,41401,Domestic Medium Hair,"Black, Gray"
160,45600eaab,1,2,1,2,1,1,2,2,2,1,1,0,0,3.0,41401,Oriental Short Hair,"Yellow, White"
161,dcba09ff1,1,1,0,2,2,2,3,3,3,1,5,0,0,5.0,41401,Mixed Breed,"Black, White"
162,d7f938acd,1,1,2,2,2,1,1,1,2,1,1,0,0,4.0,41326,Mixed Breed,Brown
163,ea11b6f12,3,1,2,3,2,1,1,1,2,1,3,30,0,3.0,41326,Mixed Breed,"Black, Yellow"
164,3332eb59c,4,1,2,3,2,2,2,2,2,1,3,0,0,5.0,41326,Mixed Breed,Brown
165,b3e19ff68,4,2,36,3,2,2,1,1,1,1,5,0,0,0.0,41326,Tuxedo,"Black, Golden"
166,594e3dc3f,4,1,3,3,2,1,3,3,3,1,5,0,0,1.0,41327,Mixed Breed,"Brown, Yellow"
167,fbb112b7e,3,1,2,2,2,2,1,1,2,1,1,0,0,4.0,41326,Mixed Breed,"Black, Brown"
168,d14d62508,2,1,1,2,3,1,3,1,3,1,1,0,0,2.0,41401,Mixed Breed,"Brown, Cream"
169,5de61cf6b,2,2,2,2,2,1,2,1,2,1,1,0,0,3.0,41326,Domestic Short Hair,"Black, Cream"
170,b9590d4de,0,2,2,1,1,1,2,2,2,1,1,0,0,1.0,41401,Mixed Breed,"Brown, Cream"
171,747c82f83,2,1,2,2,2,1,1,1,2,1,1,80,0,9.0,41326,Mixed Breed,"Black, Brown"
172,3004c3401,4,2,3,1,2,1,3,1,2,1,1,0,0,3.0,41401,Domestic Short Hair,Yellow
173,c737c30d7,4,1,17,1,2,2,1,1,1,1,1,150,0,1.0,41401,Mixed Breed,Black
174,03b0568b3,3,1,2,3,2,1,3,3,3,1,8,0,0,5.0,41401,Mixed Breed,"Black, Brown"
175,987baa1c7,2,2,48,1,3,1,1,1,2,1,1,20,0,4.0,41326,Tabby,"Black, Brown"
176,70b3d1f9c,2,2,1,1,2,1,2,2,2,1,1,0,0,1.0,41326,Domestic Short Hair,"Black, Brown"
177,27456ec0f,2,2,5,2,2,2,2,2,2,1,1,150,0,4.0,41326,Mixed Breed,"Black, White"
178,5c28a8cec,2,1,8,1,2,1,3,3,1,1,1,0,0,3.0,41326,Mixed Breed,"Black, Brown"
179,2c8ae4c7e,4,1,4,2,1,1,1,1,1,1,1,0,0,2.0,41326,Mixed Breed,White
180,cd7bea671,3,1,3,1,2,1,1,1,2,1,1,0,0,3.0,41326,Mixed Breed,"Black, White"
181,7bda94ad0,4,2,72,1,2,1,1,1,1,1,1,0,0,10.0,41326,Domestic Short Hair,"Black, White"
182,ab4b4681b,4,2,12,2,2,1,3,3,3,1,5,0,0,4.0,41325,Mixed Breed,"Black, Yellow"
183,aa189a931,4,1,12,2,2,2,2,1,2,1,1,0,0,2.0,41327,Mixed Breed,"Black, Brown"
184,d0bc14f47,4,2,12,1,2,1,1,1,1,1,2,0,0,2.0,41401,Mixed Breed,"Golden, White"
185,eab8c8c03,3,1,22,1,2,1,1,1,2,1,1,0,0,0.0,41401,Beagle,"Brown, Cream"
186,3b4a987ba,4,1,36,1,2,2,3,3,2,1,1,0,0,3.0,41326,Mixed Breed,Golden
187,1bbb46822,3,1,2,1,2,2,3,3,2,1,1,0,0,1.0,41326,Mixed Breed,Cream
188,5c546c236,4,2,4,2,2,1,3,3,1,1,5,0,0,1.0,41336,Tabby,"Black, Brown"
189,702bee848,2,1,12,2,2,2,1,1,2,1,1,0,0,5.0,41326,Mixed Breed,White
190,66757255c,4,1,7,1,1,1,2,2,2,1,1,50,1,1.0,41326,Mixed Breed,"Black, White"
191,0b0f596b5,1,1,2,1,2,1,2,2,2,1,1,0,0,4.0,41401,Mixed Breed,"Black, Brown"
192,938bcf142,4,1,3,2,1,1,2,1,3,1,3,0,0,2.0,41326,Mixed Breed,"Brown, White"
193,bea72e6c5,4,1,24,2,2,1,1,1,1,1,1,0,0,24.0,41326,Mixed Breed,"Brown, White"
194,52e555a3a,1,1,1,2,2,3,2,2,2,1,1,0,0,3.0,41326,Mixed Breed,Brown
195,3998bcfec,2,1,1,2,2,1,2,2,2,1,1,0,0,1.0,41332,Mixed Breed,Brown
196,e62e5aa26,2,1,3,1,3,1,1,1,2,1,2,0,0,9.0,41326,Mixed Breed,Golden
197,933e0a3e8,4,2,5,1,1,1,1,2,3,1,1,0,0,4.0,41401,Domestic Short Hair,"Black, White"
198,1eb8a0278,1,1,16,2,1,1,1,1,3,1,1,0,0,3.0,41401,Mixed Breed,"Cream, White"
199,d5df16a32,2,2,2,1,2,1,1,1,2,1,1,0,0,5.0,41326,Domestic Short Hair,"Golden, Cream"
200,06296e4e2,4,2,2,1,1,2,3,3,3,1,1,0,0,6.0,41327,Domestic Medium Hair,Cream
201,207d61997,1,1,7,1,2,1,1,1,3,1,1,0,0,8.0,41326,Mixed Breed,Brown
202,38a81271c,4,2,13,2,2,1,2,1,2,1,1,0,0,5.0,41326,Domestic Short Hair,"Brown, Golden"
203,65d10be4d,3,1,3,1,2,1,1,1,1,1,1,0,0,3.0,41326,Mixed Breed,"Black, White"
204,c7b468b32,4,1,12,1,2,1,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
205,6df350974,2,2,3,1,1,1,1,1,2,1,1,0,0,9.0,41401,Domestic Short Hair,"Black, White"
206,249112486,4,1,2,2,2,2,2,2,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
207,8f85e69ee,3,2,10,2,2,1,1,1,1,1,1,0,0,8.0,41401,Domestic Short Hair,Yellow
208,b243b8e93,1,1,2,2,2,1,2,1,2,1,1,0,0,5.0,41326,Mixed Breed,"Yellow, Cream"
209,89523a695,3,1,2,1,2,1,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
210,4f0eacbdd,1,2,4,2,3,1,2,2,2,1,1,0,0,8.0,41401,Domestic Short Hair,"Black, Brown"
211,b5fcc079e,3,1,60,1,2,2,1,1,1,1,1,0,0,5.0,41326,Mixed Breed,"Brown, Yellow"
212,53976b229,4,2,2,2,2,1,2,2,2,1,6,30,0,6.0,41326,Domestic Short Hair,"Black, Yellow"
213,f4ed1a08e,4,2,12,2,2,1,1,1,1,1,1,0,0,2.0,41401,Domestic Short Hair,"Brown, Golden"
214,2f3227612,1,2,2,2,1,1,2,2,2,1,1,0,0,5.0,41326,Mixed Breed,"Black, Yellow"
215,ba66a7a82,1,2,0,3,2,1,2,2,2,2,3,0,0,1.0,41326,Mixed Breed,"Brown, Cream"
216,d4e83ee5b,3,1,2,3,3,1,1,1,2,1,3,0,1,8.0,41326,Mixed Breed,"Cream, White"
217,00a1f270a,4,2,6,2,2,1,2,1,1,1,1,0,0,5.0,41326,Domestic Short Hair,"Golden, White"
218,74e316be1,2,1,3,2,3,1,3,3,2,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
219,039509c40,1,1,1,2,2,2,2,1,2,1,1,0,0,4.0,41326,Mixed Breed,Black
220,eeb60466e,1,1,2,2,1,1,2,2,2,1,4,0,0,5.0,41327,Mixed Breed,"Black, Brown"
221,c6cdbebfa,1,2,3,1,2,2,2,2,2,1,1,50,0,3.0,41326,Domestic Medium Hair,"Yellow, White"
222,82137b39f,4,1,19,2,2,1,1,1,1,1,1,80,0,3.0,41326,Mixed Breed,Black
223,28b64c198,4,2,11,2,2,1,1,1,1,1,1,50,0,5.0,41326,Domestic Short Hair,"Black, Yellow"
224,f70251906,4,1,37,2,2,1,1,1,1,1,1,0,0,5.0,41326,Mixed Breed,"Brown, Golden"
225,9d76ed82f,2,2,4,2,1,3,2,2,3,1,1,250,0,3.0,41326,Mixed Breed,"Black, White"
226,e83f846eb,1,1,3,1,2,1,2,1,1,1,1,0,0,6.0,41401,Mixed Breed,Cream
227,60b9421cc,3,1,6,1,2,1,1,1,1,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
228,72a7cb335,2,2,1,2,2,1,2,2,2,1,1,0,0,7.0,41326,Domestic Short Hair,"Golden, Cream"
229,0bd4aed6b,4,1,5,1,2,1,3,3,3,1,1,0,0,0.0,41326,Mixed Breed,"Black, Brown"
230,ae03f99f2,3,1,1,3,2,1,2,2,2,1,6,0,0,5.0,41326,Mixed Breed,Black
231,5a1010bca,2,2,7,1,2,1,2,1,2,1,1,0,0,2.0,41401,Domestic Short Hair,"Black, White"
232,6a5c652b5,4,1,4,2,2,2,2,1,2,1,1,1,0,1.0,41401,Mixed Breed,"Black, Brown"
233,040771e8e,4,2,1,2,2,1,2,2,2,1,1,0,0,0.0,41326,Domestic Short Hair,"Black, Brown"
234,706a9cd5c,3,1,48,2,2,1,1,1,1,1,1,0,0,1.0,41326,Mixed Breed,Brown
235,62550cf78,1,1,3,2,1,1,2,2,2,1,1,0,0,3.0,41330,Mixed Breed,Brown
236,701c5afba,1,1,2,1,2,2,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
