,Unnamed: 0,PetID,AdoptionSpeed,Type,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PhotoAmt,State,Breed,Colors
315,315,1c74d62ed,4,1,10,2,2,1,2,1,1,1,1,0,0,2.0,41401,Mixed Breed,White
318,318,479500716,4,1,3,1,2,1,3,1,3,1,1,0,0,2.0,41326,Mixed Breed,Black
345,345,ceed27182,2,1,36,1,1,2,3,3,2,1,1,0,0,3.0,41326,Poodle,Brown
397,397,bd9e9d9e2,3,1,1,2,2,2,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,Brown
402,402,3cc84c2f8,1,1,1,2,2,2,2,2,2,1,1,0,0,5.0,41401,Mixed Breed,"Black, Golden"
405,405,e07812482,1,2,3,1,2,1,2,2,2,1,1,0,0,1.0,41401,Domestic Short Hair,"Golden, White"
414,414,81d97fa9f,3,1,2,2,2,2,3,3,2,1,1,0,0,2.0,41326,Mixed Breed,"Brown, White"
428,428,4d999ee22,4,2,3,1,1,1,3,3,3,1,1,0,0,1.0,41326,Tabby,Golden
434,434,76d5726c4,1,1,72,2,3,3,1,1,2,1,1,0,0,4.0,41330,German Shepherd Dog,"Black, Brown"
449,449,b5df81f99,1,1,4,2,2,1,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,White
455,455,92b89a666,4,1,5,2,2,2,1,1,2,1,1,0,0,3.0,41326,Mixed Breed,Brown
459,459,53cd96ef8,1,1,2,3,2,2,2,2,2,1,6,0,0,1.0,41401,Mixed Breed,"Black, Brown"
462,462,f8d831236,1,2,5,1,2,2,3,3,3,1,1,0,0,1.0,41326,Domestic Medium Hair,Black
473,473,2e1d3ae52,4,2,1,3,2,1,2,1,2,1,2,0,0,1.0,41326,Domestic Short Hair,"Black, Brown"
481,481,86547ad6d,4,1,5,2,2,1,1,1,1,1,1,100,0,5.0,41336,Mixed Breed,Black
490,490,6b3614a92,4,2,9,1,2,3,2,1,2,2,1,0,0,2.0,41401,Domestic Long Hair,"Black, White"
519,519,2cea63a41,1,1,2,1,2,2,1,1,2,1,1,0,0,5.0,41326,Mixed Breed,"Black, Brown"
521,521,6c48c9154,1,2,3,1,2,2,3,3,3,1,1,0,0,1.0,41326,Domestic Medium Hair,White
548,548,23d2b8824,1,2,2,1,1,1,3,3,3,1,1,0,0,3.0,41326,Domestic Short Hair,"Gray, White"
551,551,fca85f778,3,1,3,2,2,1,3,3,2,1,1,0,0,2.0,41326,Mixed Breed,Brown
554,554,8885f346b,4,2,11,1,2,1,1,1,1,1,1,100,0,6.0,41326,Domestic Short Hair,Cream
555,555,33d3738f6,2,2,12,3,2,2,2,2,2,1,6,0,0,6.0,41326,Domestic Long Hair,"Black, Gray"
567,567,d95eabfe9,2,1,24,1,2,2,1,1,1,1,1,200,0,2.0,41326,Mixed Breed,"Black, Brown"
569,569,439f040ed,4,2,3,1,2,1,2,2,2,1,1,0,0,3.0,41401,Domestic Short Hair,Black
574,574,6e3457b81,3,2,6,1,1,2,2,1,2,1,1,0,0,4.0,41326,Domestic Medium Hair,Gray
584,584,a23f0020a,2,2,24,2,1,1,1,1,3,1,1,0,0,2.0,41326,Mixed Breed,Cream
585,585,5a5463e17,2,2,1,1,2,1,2,2,2,1,1,100,0,6.0,41401,Domestic Short Hair,Brown
592,592,c69842c2a,3,2,2,2,2,2,2,1,2,1,1,50,0,7.0,41326,Mixed Breed,"Black, Gray"
600,600,7687b7da2,4,1,60,1,2,2,1,1,1,1,1,0,1,4.0,41326,Mixed Breed,Golden
609,609,1e24f14d6,4,2,10,2,2,2,2,2,2,1,1,0,0,1.0,41326,Domestic Short Hair,"Black, White"
610,610,eb8aeff64,3,1,2,2,2,1,1,1,2,1,1,0,0,2.0,41330,Mixed Breed,Black
635,635,27268f547,2,2,14,1,3,1,2,1,1,1,1,0,0,5.0,41326,Tabby,Golden
641,641,30908fb77,1,2,1,2,1,1,2,2,2,1,1,0,0,1.0,41401,Domestic Short Hair,"Black, Yellow"
648,648,86953ea0b,4,2,2,3,1,2,2,2,2,1,2,0,0,5.0,41326,Domestic Medium Hair,"Black, Gray"
656,656,b8bf2c090,4,1,24,2,2,2,1,1,1,1,2,0,0,21.0,41327,Mixed Breed,"Brown, Golden"
666,666,cd4b05b8c,4,2,4,1,2,2,2,2,2,1,2,0,0,2.0,41361,Domestic Short Hair,"Black, Gray"
671,671,7667378df,4,2,3,2,1,2,2,1,2,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
721,721,71c3f9254,1,2,2,1,2,2,2,2,2,1,1,150,0,4.0,41326,Mixed Breed,Golden
740,740,79b514f79,0,1,2,3,1,2,1,3,3,1,5,0,0,1.0,41326,Mixed Breed,"Black, Brown"
755,755,391e0cefd,4,2,1,2,1,1,2,2,2,1,1,0,0,4.0,41326,Domestic Short Hair,"Black, Yellow"
774,774,14357e2ed,3,1,1,1,2,1,2,2,2,1,1,0,0,1.0,41326,Mixed Breed,Brown
791,791,a372e8416,4,2,11,2,2,1,1,1,1,1,1,0,0,1.0,41326,Domestic Short Hair,White
794,794,96a1bce27,3,1,1,1,2,2,2,2,2,1,1,0,0,1.0,41332,Mixed Breed,Brown
798,798,f981112a8,3,1,1,2,2,1,2,2,2,1,1,0,1,8.0,41330,Mixed Breed,Brown
801,801,d83aa1f02,0,1,30,2,3,3,1,1,1,1,1,0,0,6.0,41401,Mixed Breed,"Black, Golden"
812,812,855de7c89,3,2,17,1,2,2,2,1,3,1,1,0,0,1.0,41336,Mixed Breed,"Yellow, White"
832,832,d7c661670,3,2,3,2,2,1,2,2,2,1,1,0,0,4.0,41326,Mixed Breed,"Brown, Golden"
837,837,2d837689d,4,1,4,1,2,1,1,1,2,1,1,150,0,8.0,41401,Mixed Breed,"Brown, Golden"
842,842,4a8caef08,4,1,12,1,2,1,3,1,3,2,1,0,0,2.0,41326,Mixed Breed,Yellow
845,845,642a88a93,3,1,30,2,1,1,1,3,2,1,1,50,0,3.0,41326,Miniature Pinscher,"Black, Golden"
851,851,d0b61aedc,1,1,3,1,3,2,1,1,2,1,1,150,0,3.0,41326,Mixed Breed,"Black, White"
859,859,eea72fce5,4,2,5,1,2,1,1,1,1,2,1,100,0,1.0,41401,Domestic Short Hair,"Yellow, White"
871,871,8c17f26c4,1,1,3,2,2,2,2,2,2,1,1,0,0,2.0,41401,Mixed Breed,"Black, Brown"
873,873,f195c540d,4,2,2,3,1,1,1,1,2,1,6,100,1,5.0,41401,Domestic Short Hair,"Black, Brown"
875,875,7ddc32b12,3,1,24,1,2,1,1,1,1,1,1,300,0,1.0,41326,Beagle,"Black, Brown"
907,907,4e01721aa,3,1,1,3,2,2,2,2,2,1,6,0,0,2.0,41330,Mixed Breed,"Brown, Golden"
923,923,3d3aef491,2,1,2,1,2,1,2,2,2,1,8,0,0,7.0,41326,Mixed Breed,"Black, Brown"
934,934,b05a3ca1d,1,2,7,3,2,1,3,3,3,1,2,0,0,1.0,41326,Mixed Breed,"Golden, Gray"
964,964,a92b06d0f,3,1,12,3,2,2,3,3,2,1,3,0,0,9.0,41326,Mixed Breed,"Black, Brown"
967,967,4d20f6163,4,1,3,2,3,1,3,3,3,1,2,0,0,1.0,41327,Mixed Breed,"Black, Brown"
968,968,d6cfa5d4b,3,1,12,1,3,1,3,3,2,1,1,0,0,2.0,41326,Labrador Retriever,Brown
975,975,81b5f684a,4,2,60,1,3,1,1,1,1,1,1,0,0,1.0,41401,Domestic Short Hair,Yellow
984,984,b63d76ef4,4,1,1,1,2,1,1,1,1,1,1,200,0,7.0,41401,Mixed Breed,Cream
992,992,06bf9e676,1,1,10,1,3,1,1,1,2,1,1,0,0,1.0,41401,Golden Retriever,Cream
993,993,4ccb3f896,2,2,3,3,2,2,2,2,3,1,6,0,0,5.0,41324,Domestic Medium Hair,"Golden, Gray"
1002,1002,19dcd4753,2,2,2,2,2,1,2,2,2,1,1,10,0,2.0,41336,Domestic Short Hair,"Black, Golden"
1053,1053,f03979157,0,2,2,1,2,2,2,2,3,1,1,0,0,1.0,41326,Domestic Medium Hair,Black
1071,1071,cd617c72c,2,2,3,3,2,2,2,1,2,1,2,0,0,8.0,41401,Domestic Short Hair,"Black, Gray"
1081,1081,e5e083218,1,1,2,1,2,2,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
1095,1095,d721ed589,3,1,2,2,2,1,2,1,2,1,1,0,0,5.0,41327,Mixed Breed,Black
1109,1109,44b6a5b46,2,2,2,2,1,1,1,1,2,1,1,0,0,5.0,41401,Domestic Short Hair,Black
1110,1110,abdeff83f,3,1,17,2,2,1,1,1,1,1,1,80,0,2.0,41326,Mixed Breed,White
1118,1118,8eb134074,4,2,2,2,2,1,2,1,2,1,4,0,0,10.0,41326,Calico,"Black, Brown"
1125,1125,38e12233c,3,1,10,2,2,1,1,1,2,1,1,110,0,2.0,41326,Mixed Breed,"Cream, White"
1126,1126,4d6a996c1,2,1,12,2,2,2,1,1,2,1,1,0,0,3.0,41326,Mixed Breed,"Cream, White"
1133,1133,abe8790ba,2,2,2,1,2,3,2,2,2,1,1,350,0,4.0,41401,Mixed Breed,White
1138,1138,5419155f2,2,1,1,3,2,1,2,2,2,1,9,0,2,14.0,41326,Mixed Breed,"Black, Brown"
1141,1141,952501bdb,3,1,120,2,2,2,3,3,3,2,1,0,0,3.0,41401,Mixed Breed,"Black, White"
1169,1169,ab2bb4a0c,2,1,2,3,2,1,1,1,3,1,3,0,0,3.0,41401,Mixed Breed,"Black, Brown"
1180,1180,235572f38,1,2,1,2,2,1,2,2,2,1,1,0,0,1.0,41326,Domestic Short Hair,"Black, White"
1187,1187,71d834666,1,2,4,1,1,1,2,2,2,1,1,0,0,10.0,41326,Domestic Short Hair,"Black, Gray"
1194,1194,32aa78316,3,2,3,2,2,1,2,1,2,1,1,0,0,4.0,41326,Domestic Short Hair,"Brown, Yellow"
1228,1228,fe3a83fe5,1,1,12,1,1,2,1,1,2,1,1,200,0,4.0,41326,Schnauzer,Gray
1257,1257,f95b39c6f,2,1,2,1,2,2,2,1,2,1,1,0,0,3.0,41326,Mixed Breed,"Brown, White"
1274,1274,25c1c662b,1,2,3,1,2,1,2,2,2,1,1,0,0,1.0,41327,Domestic Short Hair,"Golden, Yellow"
1277,1277,5112569f6,2,2,1,3,2,2,2,2,2,1,2,0,0,4.0,41326,Domestic Short Hair,"Black, White"
1295,1295,da5295aaf,0,1,2,2,2,2,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,"Golden, Yellow"
1299,1299,5685ae208,4,1,1,2,2,1,2,2,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Yellow"
1312,1312,5d2f7761c,1,1,36,2,3,1,1,1,1,1,1,0,0,1.0,41326,Doberman Pinscher,"Black, Brown"
1318,1318,f6c91bc20,3,1,18,1,2,2,1,1,1,1,1,0,0,2.0,41326,Mixed Breed,Black
1333,1333,9ebf6e448,1,2,1,3,1,2,2,2,2,1,2,0,0,4.0,41401,Domestic Medium Hair,"Cream, White"
1334,1334,b3c62d7f8,4,2,12,2,2,1,2,1,2,1,7,0,0,5.0,41330,Domestic Short Hair,"Black, White"
1336,1336,e25112cac,2,1,4,2,2,1,1,1,2,2,1,0,0,3.0,41401,Mixed Breed,Black
1361,1361,33ddc2011,4,2,36,2,2,2,2,2,3,1,1,0,0,1.0,41401,Domestic Medium Hair,"Black, Yellow"
1375,1375,2430b50b4,3,1,24,1,2,1,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,"Black, Yellow"
1379,1379,a710da2ab,1,1,1,1,2,3,2,2,2,1,1,0,0,1.0,41401,Mixed Breed,"Brown, White"
1386,1386,27a8bdbf8,2,1,2,2,2,2,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,Brown
1407,1407,d5176f7eb,4,2,24,1,2,1,2,1,2,2,1,0,0,6.0,41326,Domestic Short Hair,"Cream, White"
1419,1419,c23b2926e,4,1,3,3,2,1,1,1,2,1,3,0,0,3.0,41326,Mixed Breed,"Brown, Golden"
1429,1429,92df22369,2,2,72,2,2,2,3,3,3,1,1,0,0,5.0,41326,Mixed Breed,"Black, Brown"
1441,1441,fc8220250,1,1,4,2,2,1,2,1,2,1,1,80,0,1.0,41326,Mixed Breed,Brown
1444,1444,b593502c5,0,1,21,2,2,1,2,2,2,1,1,0,0,1.0,41326,Mixed Breed,"Brown, Cream"
1445,1445,9f02a1c14,3,1,2,3,2,2,2,2,2,1,3,0,0,1.0,41401,Mixed Breed,"Black, Brown"
1446,1446,183eb3fe5,3,2,2,1,2,3,1,1,2,1,1,400,1,14.0,41326,American Curl,"Cream, White"
1452,1452,fb24264ea,1,2,1,1,2,2,2,1,2,1,1,0,0,1.0,41326,Domestic Medium Hair,Golden
1480,1480,b2c120250,2,1,2,2,1,1,1,1,2,1,1,0,0,4.0,41326,Mixed Breed,"Brown, Yellow"
1490,1490,49113adb2,3,2,5,1,2,1,1,1,1,1,1,100,0,30.0,41326,Domestic Short Hair,Yellow
1496,1496,9c95b7659,0,2,29,1,2,2,1,1,2,1,1,70,0,3.0,41326,Mixed Breed,"Yellow, Cream"
1503,1503,b7da4e981,3,1,4,2,2,1,1,1,2,1,1,0,0,5.0,41326,Mixed Breed,Black
1509,1509,04a6267e4,2,1,2,2,1,1,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,Black
1518,1518,e19ee42ce,1,1,1,2,1,1,2,2,3,1,1,0,0,4.0,41401,Mixed Breed,"Brown, White"
1521,1521,a4385e043,1,1,4,1,2,1,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,White
1525,1525,dfff88c90,4,1,5,1,1,1,2,2,2,1,1,0,0,1.0,41330,Mixed Breed,Yellow
1563,1563,b8dd18a5a,4,1,18,1,2,2,1,1,2,2,1,0,0,3.0,41326,Mixed Breed,"Cream, White"
1568,1568,5f2623cb9,2,1,3,2,3,2,1,1,2,1,2,0,0,2.0,41327,Mixed Breed,"Gray, White"
1573,1573,bee25f46d,3,1,1,3,2,2,2,2,2,1,4,0,0,9.0,41326,Mixed Breed,"Black, Brown"
1585,1585,1667eb8a4,1,1,1,1,2,1,2,2,2,1,1,0,0,2.0,41325,Mixed Breed,"Black, White"
1593,1593,7e29d5a9d,4,1,1,2,1,1,1,1,3,1,2,50,0,1.0,41401,Mixed Breed,Black
1600,1600,21c163648,1,2,1,2,1,1,2,2,2,1,1,0,0,1.0,41326,Domestic Short Hair,"Brown, Yellow"
1601,1601,f6ae0d580,1,1,24,2,1,1,1,1,1,1,1,0,0,1.0,41326,Poodle,Brown
1605,1605,14efbbb85,4,2,1,2,1,1,2,2,2,1,1,0,0,1.0,41345,American Shorthair,"Brown, Golden"
1610,1610,af86d93ba,4,1,12,2,2,1,3,3,1,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
1625,1625,8e3fba2c2,1,2,8,2,1,1,1,1,1,2,1,0,0,1.0,41326,Calico,"Black, Golden"
1656,1656,80524f9cd,4,2,4,2,1,1,2,2,2,1,1,0,0,1.0,41401,Domestic Short Hair,"Black, Golden"
1662,1662,67825bf81,2,2,2,1,3,3,3,3,3,1,1,350,0,2.0,41326,American Curl,"Cream, White"
1665,1665,49c8a0216,2,1,2,2,2,1,3,3,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
1667,1667,f96ccddd5,1,2,9,2,2,1,2,1,2,1,1,0,0,4.0,41401,Domestic Short Hair,"Cream, White"
1678,1678,919768bb5,3,1,1,1,2,2,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
1696,1696,241b90aaa,3,1,1,2,2,1,3,3,2,1,1,0,0,4.0,41326,Mixed Breed,"Black, White"
1714,1714,9b95ec85b,2,1,2,2,2,2,1,1,2,1,1,0,0,2.0,41326,Mixed Breed,Brown
1715,1715,9ef11ed6e,4,1,2,2,2,2,1,1,3,1,2,0,0,1.0,41401,Mixed Breed,"Black, Brown"
1733,1733,45c2eb379,1,1,2,1,2,1,2,1,2,1,1,0,0,2.0,41327,Mixed Breed,"Black, Brown"
1751,1751,da6950564,4,2,8,2,1,1,3,3,1,1,1,0,0,5.0,41401,Calico,"Black, Brown"
1761,1761,66b978701,2,1,48,1,1,2,1,1,1,1,1,0,0,1.0,41401,Poodle,"Cream, White"
1778,1778,bb74d75c2,4,2,12,1,2,1,3,3,2,1,1,50,0,1.0,41326,Domestic Short Hair,"Black, White"
1779,1779,3ecdd4122,4,2,24,2,2,1,2,1,1,1,1,0,0,4.0,41326,Mixed Breed,"Black, Brown"
1788,1788,aab56f3ff,1,2,2,1,1,1,1,1,2,1,2,0,0,5.0,41326,Domestic Short Hair,Yellow
1806,1806,10022add6,2,2,2,2,1,1,2,1,2,1,1,0,0,5.0,41401,Domestic Short Hair,"Black, Cream"
1820,1820,904b74dde,0,2,24,1,3,3,3,3,3,1,1,0,0,1.0,41401,Persian,"Golden, Yellow"
1835,1835,9b2d6b1f3,1,2,3,1,1,2,1,1,2,1,1,0,0,2.0,41326,Domestic Medium Hair,"Yellow, White"
1843,1843,ae0a993ac,4,2,12,2,2,1,2,2,2,1,1,0,0,2.0,41326,Domestic Short Hair,"Black, Yellow"
1872,1872,ef86c51b2,3,1,12,2,1,3,1,1,1,1,1,300,0,1.0,41326,Terrier,Cream
1877,1877,90caf70eb,2,1,2,2,2,2,1,1,2,1,2,0,0,3.0,41326,Mixed Breed,Brown
1957,1957,ec53a8725,4,1,2,2,2,2,2,1,2,1,1,0,0,3.0,41330,Mixed Breed,Black
1963,1963,95e206d02,4,2,2,1,1,1,2,2,2,1,1,0,0,1.0,41326,Domestic Short Hair,Golden
1982,1982,4e8daf8fd,2,2,36,2,2,3,2,2,1,1,1,200,0,2.0,41326,Persian,"Black, Brown"
1985,1985,483f1aae8,4,1,2,2,2,1,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, White"
2026,2026,cef0e42a5,4,2,5,1,2,1,1,1,2,1,1,100,0,1.0,41335,Mixed Breed,"Golden, Yellow"
2028,2028,9d3d3b938,4,1,6,2,2,1,1,1,2,1,1,0,0,2.0,41401,Mixed Breed,Black
2064,2064,35cc85250,1,1,2,1,2,1,2,2,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, White"
2068,2068,bec49d8b7,2,1,60,1,2,1,1,1,2,1,1,0,0,1.0,41401,Beagle,"Brown, Cream"
2078,2078,ecad98f44,2,1,8,2,3,3,1,1,2,1,1,1000,0,1.0,41326,Rottweiler,Black
2084,2084,5b72e14bf,3,1,2,1,3,1,2,1,2,1,4,0,1,18.0,41326,Mixed Breed,Black
2089,2089,fe5dc391c,1,1,1,2,2,1,2,2,2,1,1,0,0,2.0,41401,Mixed Breed,Brown
2098,2098,b02fcb74b,2,1,1,3,2,2,2,2,2,1,4,0,0,12.0,41326,Mixed Breed,"Black, Brown"
2121,2121,de9e02d44,3,1,36,3,1,2,1,1,2,1,3,0,0,2.0,41326,Schnauzer,"Black, Gray"
2137,2137,15937e540,1,1,16,1,1,3,1,1,1,1,1,180,0,4.0,41326,Shih Tzu,"Black, Brown"
2153,2153,abf0f2579,2,1,2,2,2,1,3,3,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
2156,2156,a8c336257,1,2,3,1,1,1,2,2,2,1,1,0,0,2.0,41401,Siamese,"Black, White"
2173,2173,8aeda3d62,3,1,36,1,1,2,3,1,2,1,1,0,0,2.0,41401,Australian Terrier,"Black, Golden"
2175,2175,172c8129a,4,1,36,2,1,1,1,1,1,1,1,0,0,5.0,41326,Mixed Breed,"Black, Brown"
2181,2181,a362ad62e,2,1,1,2,2,1,2,2,2,1,1,0,0,2.0,41326,Mixed Breed,"Black, White"
2184,2184,9dca27ec4,2,2,1,3,2,1,2,1,2,1,4,0,0,4.0,41326,Domestic Short Hair,"Black, Brown"
2197,2197,917c0bc2b,2,2,3,1,2,2,1,2,2,1,1,15,0,3.0,41326,Mixed Breed,"Black, White"
2214,2214,31b90821f,4,2,4,1,1,1,1,1,2,1,2,0,0,1.0,41324,Domestic Short Hair,"Black, White"
2231,2231,ca902248f,4,2,3,2,2,2,2,2,3,1,1,0,0,4.0,41326,Domestic Medium Hair,"Black, White"
2243,2243,94a4357dd,2,2,2,2,1,1,3,3,3,1,1,0,0,1.0,41326,Domestic Short Hair,"Black, Brown"
2251,2251,0c862b8a3,4,1,15,2,2,2,1,1,1,1,1,0,0,2.0,41326,Mixed Breed,"Black, Brown"
2279,2279,c27f27a68,3,2,3,2,3,1,2,2,2,1,3,0,0,2.0,41326,Mixed Breed,"Black, Golden"
2288,2288,7d11f10b1,1,2,3,3,1,1,2,1,2,1,3,0,0,4.0,41326,Mixed Breed,"Yellow, Gray"
2290,2290,659dc9159,4,1,1,2,2,1,2,1,2,1,1,0,0,2.0,41326,Mixed Breed,Brown
2292,2292,d3ccb2482,1,2,4,2,2,3,3,3,2,1,1,0,0,1.0,41401,Mixed Breed,"Cream, Gray"
2296,2296,988c18c10,4,1,24,2,2,1,3,3,3,1,1,0,0,2.0,41401,Mixed Breed,White
2316,2316,d03356a0e,4,2,1,3,1,1,2,2,2,1,4,0,0,3.0,41326,Domestic Short Hair,"Brown, Golden"
2317,2317,7a84326ff,4,1,15,2,2,1,2,1,1,1,1,0,0,1.0,41324,Mixed Breed,"Black, Brown"
2366,2366,19904f24d,2,2,2,3,1,1,1,1,2,1,2,0,0,9.0,41326,Mixed Breed,"Black, Golden"
2368,2368,2d9bdbca9,1,1,2,3,2,1,3,3,3,1,2,0,0,2.0,41326,Mixed Breed,"Brown, White"
2370,2370,ff065ec7b,3,2,1,3,2,1,2,2,2,1,6,0,0,11.0,41401,Mixed Breed,"Black, Gray"
2375,2375,ac94029d4,2,2,3,1,1,2,2,2,2,1,1,0,0,1.0,41401,Mixed Breed,Black
2406,2406,afb230f5a,2,1,1,2,2,2,2,1,2,1,1,50,0,10.0,41326,Mixed Breed,"Black, Golden"
2412,2412,de993a4c9,2,2,9,2,2,2,1,1,1,1,2,0,0,1.0,41326,Domestic Medium Hair,White
2422,2422,ff3d455a0,2,2,3,1,2,1,2,2,2,1,1,15,0,4.0,41326,Domestic Short Hair,"Black, White"
2443,2443,01dac4b22,2,2,24,2,2,3,3,3,3,1,1,0,0,1.0,41401,Abyssinian,"Black, Brown"
2454,2454,86386b0c0,1,1,24,1,2,2,2,1,2,1,1,0,0,5.0,41401,Mixed Breed,"Black, White"
2462,2462,b6106ecb8,2,2,30,2,2,2,1,1,1,1,1,0,0,2.0,41401,Japanese Bobtail,"Black, Golden"
2503,2503,a1188fdb7,1,1,3,2,2,2,2,1,2,1,2,0,0,1.0,41326,Mixed Breed,"Black, White"
2506,2506,4194f0f66,4,1,2,2,2,1,2,2,2,1,1,0,0,1.0,41401,Mixed Breed,"Black, Brown"
2542,2542,ac0cedc9c,4,2,4,1,2,2,3,1,3,1,1,0,0,2.0,41401,Domestic Medium Hair,"Black, Gray"
2554,2554,1d4d75d35,2,2,2,1,1,2,2,2,2,1,1,0,0,3.0,41401,Domestic Short Hair,"Black, White"
