,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,PetID,PhotoAmt,AdoptionSpeed,PetScore,Emotion
62,1,Panda,2,Terrier,#N/A,2,Black,White,White,2,1,2,2,2,1,1,0,Selangor,aa66486163b6cbc25ea62a34b11c9b91,0,15a491e20,11,3,9,playful
63,2,Neng,4,Domestic Long Hair,#N/A,1,Yellow,#N/A,#N/A,3,3,2,1,2,1,1,150,Selangor,12b98b00298fa02aad3ec10d4f884aa5,0,e8ec1a562,1,1,6,content
64,1,D13(070216),12,Mixed Breed,#N/A,2,Black,White,White,1,1,1,1,1,1,1,80,Selangor,d372aa7115ee3c2e5e4796462dec984b,0,f1cc9dd25,4,3,6,content
65,1,Puppies,2,Mixed Breed,#N/A,3,Black,#N/A,#N/A,2,2,2,3,2,1,6,0,Pulau Pinang,43974de1db3fa589e9e14ebf614651cf,0,bc14f3a48,5,2,7,content
66,2,Tangerine & Purrine,3,Domestic Short Hair,#N/A,2,Golden,#N/A,#N/A,1,1,2,2,2,1,2,0,Selangor,1565d406c559212ca01bba319c615c1f,0,c5f20f40f,10,2,5,timid
67,1,Lucy,36,Mixed Breed,#N/A,2,Golden,#N/A,#N/A,2,1,1,1,1,1,1,0,Selangor,aa66486163b6cbc25ea62a34b11c9b91,0,bde802b84,4,4,4,happy
68,1,Billy,18,Spitz,Mixed Breed,1,White,#N/A,#N/A,2,2,1,1,1,1,1,0,Kuala Lumpur,c00756f2bdd8fa88fc9f07a8309f7d5d,0,b421d0d48,7,2,4,happy
69,2,Bubu & Betty,12,Domestic Short Hair,#N/A,3,Black,Brown,Brown,2,1,1,1,1,1,2,0,Negeri Sembilan,c19fc47db363e9ac131d0ecbf25b9839,3,db03ddc32,16,4,5,scared
70,1,Baby Wow Wow,1,Mixed Breed,#N/A,2,Brown,White,White,2,1,2,2,2,1,2,0,Kuala Lumpur,159a662a5b2cee5f5f25ccdfb1f17a9e,0,5bc5b43ae,7,4,8,content
71,2,Pets + Strays: BlueEyesWhiteGinger,1,Domestic Short Hair,#N/A,1,Brown,Yellow,Yellow,2,1,2,1,2,1,1,0,Kuala Lumpur,90569c3f7cb0af35cba5dac82c0ac9d7,0,ae38b9254,1,3,7,timid
72,2,Jaws,36,Persian,Domestic Long Hair,1,Cream,#N/A,#N/A,2,3,2,1,1,2,1,30,Selangor,6f40a7acfad5cc0bb3e44591ea446c05,0,ad90d4962,3,4,4,mean
73,2,Dan Dan,36,Domestic Short Hair,#N/A,2,Brown,Yellow,Yellow,2,1,1,1,1,1,1,0,Kuala Lumpur,930a31cee18dfc2911633da8668a0e3b,0,de67abe0b,5,4,5,content
74,1,Honey,72,Shih Tzu,#N/A,2,Brown,Cream,Cream,1,1,3,1,3,1,1,0,Selangor,f621a4baef6e67a5bfc1af9804272781,0,f0ee32b27,2,2,1,scared
75,1,Zone A2 P19,6,Mixed Breed,#N/A,1,Brown,Cream,Cream,1,1,1,1,2,1,1,0,Selangor,37237ca3633d20c004ec76c0c2ddb4b7,0,66f6cd1cb,3,4,6,scared
76,1,Misty,2,Mixed Breed,#N/A,2,Brown,#N/A,#N/A,2,2,1,1,2,1,1,0,Selangor,95481e953f8aed9ec3d16fc4509537e8,0,a5bed2b62,2,1,6,content
77,1,Faith & Hope (sentul Longkang Pups),1,Mixed Breed,#N/A,3,Brown,Cream,Cream,2,1,2,1,2,1,2,0,Selangor,4d2400be2e2e78265f5c84345b7a3415,0,5a7207717,23,2,6,scared
78,1,Lui Lui,12,German Shepherd Dog,Mixed Breed,2,Black,Brown,Brown,1,2,1,1,1,1,1,0,Selangor,4895ac7c5f0148d43f3cf517c7b480b8,0,bedd7f1e7,5,4,6.5,sad
79,1,4 Little Pups,1,Mixed Breed,Mixed Breed,3,Black,Brown,Brown,2,1,1,1,2,1,4,0,Selangor,1a2113010d6048d5410b265347b35c91,0,8a99dadaf,8,3,7,scared
80,1,Xiao Bai (Little White),48,Maltese,#N/A,2,White,#N/A,#N/A,1,3,1,1,2,1,1,300,Johor,66398324065e920d77ad0c3bc8e6ebeb,0,51d3a70bf,2,1,10,playful
81,1,Roxy,36,Jack Russell Terrier,#N/A,2,Brown,White,White,1,2,3,3,3,1,1,0,Selangor,0d86035d2266358c196cb69596a798ea,0,24993107f,5,2,7,content
82,1,Dot,2,Mixed Breed,#N/A,2,Cream,#N/A,#N/A,2,1,2,2,2,1,1,150,Selangor,da254828fea81df2ca2e807706e04b32,0,ea1736eec,5,1,9,happy
83,1,Lex Luthor,5,Mixed Breed,#N/A,1,Black,Brown,Brown,3,1,1,1,2,1,1,0,Johor,a66f8368bd1e2a086b304729127d5f51,0,1555b08c9,8,2,7.5,happy
84,2,Bubu,3,Domestic Short Hair,#N/A,2,Black,#N/A,#N/A,2,1,2,1,2,1,1,0,Selangor,0cd04d1c3c6a521db1517475575b0535,0,881d46cc0,3,2,7,playful
85,2,Tiger,2,Domestic Short Hair,#N/A,1,Brown,White,White,2,1,3,3,3,1,1,0,Kuala Lumpur,39e7541593734c19d33b5164a4e9bf0d,0,196504d88,7,2,8,timid
86,1,,1,Mixed Breed,#N/A,3,Black,Brown,Brown,2,1,2,2,2,1,5,0,Selangor,e92885eb1a02ba1c32a367ca00becc0b,0,2469e58fd,6,4,3,sad
87,2,Chiko,3,Domestic Short Hair,Domestic Short Hair,2,Golden,Cream,Cream,2,1,2,2,2,1,1,0,Pulau Pinang,a8b3e5485efc6946b3ebffac35522f9a,0,d0b9282c8,4,2,7,scared
88,2,Wookie,4,Oriental Short Hair,American Shorthair,2,Black,#N/A,#N/A,2,2,2,2,2,1,1,50,Selangor,e350e72c7709ea9d7dc3f4ba46a32ce6,0,25dc712af,5,4,6,mean
89,1,Healthy Pups,3,Mixed Breed,#N/A,2,Brown,Cream,Cream,2,2,1,1,1,1,3,0,Kuala Lumpur,9238e4f44c71a75282e62f7136c6b240,0,8c5bf2766,5,4,5,sad
90,1,Milla,3,Mixed Breed,Mixed Breed,2,Black,Brown,Brown,2,1,2,2,2,1,1,0,Johor,31de822d0adce3e2dad7dcedfbee2ba8,0,7a9ca7419,5,2,6,playful
91,1,,4,Mixed Breed,Mixed Breed,1,Black,Brown,Brown,1,1,1,1,2,1,3,0,Kuala Lumpur,8a555d2810aeaea6432d87335116b3f7,2,022b37ea0,7,1,3,timid
92,1,Sandy Colored Male Dog For Adoption,36,Mixed Breed,Border Terrier,1,Brown,Yellow,Yellow,2,1,3,3,3,1,1,0,Selangor,5611afe5c88db271aae875a8fc6b137f,0,3cfec8730,5,3,6,playful
93,2,3 Little Kitties,3,Domestic Short Hair,#N/A,3,Black,Cream,Cream,1,1,1,1,2,1,4,0,Selangor,974e0740edc0e158dce5a5591ab6bb5b,0,e30182214,12,4,4,content
94,1,Cappel,3,Mixed Breed,#N/A,2,Brown,White,White,2,1,1,1,2,1,1,0,Kuala Lumpur,c00756f2bdd8fa88fc9f07a8309f7d5d,0,6c3222742,7,3,5,playful
95,2,Mama,36,Calico,#N/A,2,Black,Golden,Golden,2,1,1,1,2,1,1,100,Perak,c4bc4a9f514938c2dbe222bbda4a5996,0,f319a49de,5,4,6.75,content
96,1,Nie Nie,2,Mixed Breed,#N/A,2,Black,Yellow,Yellow,2,1,1,1,2,1,1,0,Selangor,fa90fa5b1ee11c86938398b60abc32cb,0,df7aa79a4,4,2,5,timid
97,1,Belle,96,Shih Tzu,#N/A,2,Brown,Yellow,Yellow,1,3,1,1,1,1,1,150,Kuala Lumpur,0fddcc2044ae92f3f70fed837d35e1a6,0,829ea64cc,4,2,3,sad
98,2,Leo The Black Kitten Needs A Home,4,Domestic Short Hair,Domestic Medium Hair,1,Black,#N/A,#N/A,2,1,3,3,2,1,1,0,Selangor,5aca30a29e8290093fee2a334d65d835,0,3e2c46391,5,3,5,playful
99,2,Gorgeous Cats,18,Domestic Short Hair,#N/A,3,Black,Yellow,Yellow,2,1,1,1,1,1,4,0,Selangor,e5f791909629e34d5dcef44bbaf3da37,0,2831bd2b0,4,4,8,mean
100,2,Nana,1,Domestic Short Hair,#N/A,2,Black,Gray,Gray,1,1,2,1,2,1,1,0,Kuala Lumpur,3937a695ba7235b85e725d270455f0c8,0,a4ade8bb2,1,1,10,happy
101,1,Koharu,3,Mixed Breed,Dachshund,2,Brown,#N/A,#N/A,1,1,1,1,2,1,1,0,Pulau Pinang,c8979d22c359af7e67db82ca6557dab5,0,de41ebc79,3,2,8,content
102,2,<:))))<    Mi   <:))))<,1,Domestic Short Hair,#N/A,1,Golden,Gray,Gray,2,1,2,1,2,1,1,0,Selangor,1565d406c559212ca01bba319c615c1f,0,bbfc8a037,14,2,7,mean
103,1,Vicky,3,Mixed Breed,#N/A,2,Black,Brown,Brown,2,1,1,1,1,1,1,0,Kuala Lumpur,ee2747ce26468ec44c7194e7d1d9dad9,0,2ff9e9534,5,1,6,content
104,1,Female Puppies With Labrador Looks,4,Mixed Breed,#N/A,2,Brown,Golden,Golden,2,1,1,1,2,1,2,0,Selangor,0d916bff802ec3a61c4ea1e1eba1912f,0,ab385bfae,8,3,6,happy
105,2,Ì_åÇåÎÌåÎåÌ__åÎ_åÎå¢Ì_ÌâåÎåÈåÎ_Ì__åÎ_åÎÌøÌ__åÎÌÇåÎåâÌ_åÇåÎÌåÎÌö,2,Domestic Short Hair,#N/A,3,Brown,#N/A,#N/A,1,1,3,3,3,1,4,0,Kuala Lumpur,1501b11971f1ef79e2c842573fac8e44,0,c05b7439a,5,1,8.5,sad
106,2,Malaysian Cats Are Beautiful .,8,Domestic Short Hair,#N/A,1,Brown,#N/A,#N/A,2,2,1,1,3,1,1,0,Kuala Lumpur,ee2747ce26468ec44c7194e7d1d9dad9,0,873996ad0,3,4,4.5,scared
107,1,Rani Girl,5,Mixed Breed,#N/A,2,Black,Brown,Brown,2,1,1,1,1,1,1,0,Selangor,fa90fa5b1ee11c86938398b60abc32cb,0,bf5c5cded,5,3,5,playful
108,1,Chiwee,2,Terrier,Dachshund,2,Brown,#N/A,#N/A,2,2,1,1,2,1,1,250,Kuala Lumpur,c00756f2bdd8fa88fc9f07a8309f7d5d,0,2dd31e8ff,4,2,10,happy
109,2,Hot Mum,12,Domestic Long Hair,#N/A,2,Brown,Yellow,Yellow,2,2,2,2,2,1,2,0,Kuala Lumpur,c527f5c0d229394f90c927ea38189c94,0,9a2b50582,1,1,7,happy
110,2,Coffee,2,Domestic Short Hair,Domestic Short Hair,1,Brown,#N/A,#N/A,1,1,3,3,3,1,1,0,Selangor,74028c374b7126dac727b09deaca40bb,0,1c67c5f4c,2,1,6,playful
111,1,Marco,72,Golden Retriever,#N/A,1,Golden,#N/A,#N/A,3,3,1,1,2,1,1,0,Selangor,d9470656de42286c136ee916c58ef5b0,0,8d862cd26,2,3,7,playful
112,1,Pooh Pooh,36,Poodle,#N/A,2,Cream,#N/A,#N/A,1,1,1,1,1,1,1,0,Kedah,de010e4c858422cd1ea0f34dbf1e0c8e,0,79d5a2615,1,4,5,content
113,1,Terrier Mix Puppy,1,Terrier,Mixed Breed,2,Black,Golden,Golden,2,1,2,2,2,1,1,50,Selangor,93135c99bd79564288a9554aef595282,0,83defd365,5,1,7,sad
114,1,,2,Mixed Breed,#N/A,1,Black,Gray,Gray,1,1,2,2,2,1,3,0,Johor,2c3405117ce32adc160eb969c6e34435,0,dd79180bc,3,2,6.5,"happy,scared"
115,2,Cally,42,Domestic Short Hair,#N/A,2,Black,Yellow,Yellow,1,1,1,1,1,1,1,0,Selangor,2ebac67d1aac94488703313d85406c7f,1,249af4201,4,2,8,content
116,2,Babam,4,Domestic Medium Hair,#N/A,1,Black,Gray,Gray,2,2,2,2,2,1,1,0,Selangor,540f8f3a291c64018d163c77d9f5946b,0,552ac34a1,2,2,2,mean
117,1,Brownie,2,Mixed Breed,Mixed Breed,1,Black,Brown,Brown,2,2,1,1,2,1,1,0,Kuala Lumpur,8e2207f744c7b5fe18f96aa72ba94ee1,0,fe854f6a1,3,1,6,happy
118,1,Sonia,3,Mixed Breed,#N/A,2,Black,Brown,Brown,2,1,2,2,2,1,1,0,Pulau Pinang,7ed6d84e2e6879245e55447aee39c328,0,8102d6dc7,1,2,7,scared
119,1,In The Name Of Development,2,Mixed Breed,Mixed Breed,3,Black,Brown,Brown,2,1,2,2,2,1,6,0,Selangor,4d2400be2e2e78265f5c84345b7a3415,0,460edc419,5,4,8,happy
120,1,Luna & Pluto,1,Mixed Breed,Mixed Breed,3,Brown,#N/A,#N/A,2,2,2,2,2,1,2,0,Pulau Pinang,61b07b54adb97d4b5f3c2dec06a9943b,0,d79342c8d,6,2,7,timid
121,1,9 Street Kids,1,Mixed Breed,#N/A,3,Black,Brown,Brown,2,2,2,2,2,1,9,0,Selangor,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,a2ac8316b,11,3,8,sad
122,1,"BLACKIE BOY, BROWNIE GIRL AND BETTY",2,Mixed Breed,Mixed Breed,3,Black,Brown,Brown,2,1,2,2,3,1,3,0,Selangor,752d2323abbdd46158cae69563e5d60d,0,2ad939a78,8,3,6,content
123,2,3 Abdul,0,Domestic Short Hair,#N/A,3,Black,Brown,Brown,1,1,3,3,3,1,3,0,Selangor,32856657cf2e52ef734ef4e93f460033,0,c6da0beba,3,0,8,playful
124,1,Kiki,4,Mixed Breed,#N/A,2,Black,Brown,Brown,2,1,1,1,2,1,1,0,Negeri Sembilan,0d635cb75d7c48b2da9fa0e47390b3aa,0,17a5487d2,4,4,5.5,playful
125,1,Ann Ann,3,Mixed Breed,#N/A,2,White,#N/A,#N/A,2,2,2,2,2,1,1,0,Selangor,15bfbce05da64a088b0f78d18903b8d1,1,ae4ebeb3e,30,2,5,content
126,1,Luki,3,Mixed Breed,#N/A,2,Brown,#N/A,#N/A,2,1,1,1,2,1,1,0,Kuala Lumpur,c00756f2bdd8fa88fc9f07a8309f7d5d,0,cac68ead1,5,3,3,content
127,2,,3,Domestic Medium Hair,Domestic Short Hair,3,Black,Brown,Brown,1,2,2,2,2,1,3,0,Negeri Sembilan,bf1389c3f174506232a7e14977bf575d,0,6b6cdfdfe,5,1,7,timid
128,1,Fei Fei (fat Fat),72,Mixed Breed,#N/A,1,Cream,#N/A,#N/A,2,2,1,1,1,1,1,0,Selangor,e21aa4b6a3f8e2beaba4d8a27cbe2d5b,0,4525391a7,5,4,3,happy
129,1,Xena,3,Mixed Breed,#N/A,2,Black,#N/A,#N/A,2,1,1,1,2,1,1,0,Selangor,6842e4eee37d89afb73e4254fd198bcb,0,805dcae38,2,2,5,playful
